,strike,dollar_bid,dollar_mid,dollar_ask,time
85,22000,1723.3754,1761.0219499999998,1798.6685,0.7342465753424657
96,20000,2216.9635,2254.6100500000002,2292.2566,0.7342465753424657
116,15000,4191.3159,4262.426049999999,4333.5362,0.7342465753424657
143,14000,4743.465299999999,4818.7584,4894.0515,0.7342465753424657
149,24000,1355.2766100000001,1392.9231825000002,1430.5697550000002,0.7342465753424657
192,40000,359.733915,380.6486775,401.56344,0.7342465753424657
241,16000,3689.364105,3768.8402025000005,3848.3163000000004,0.7342465753424657
264,13000,5345.813295000001,5421.1064400000005,5496.399585000001,0.7342465753424657
265,80000,75.293145,92.024955,108.756765,0.7342465753424657
276,18000,2869.5037,2911.3331999999996,2953.1627,0.7342465753424657
286,35000,485.2222,510.31989999999996,535.4176,0.7342465753424657
291,11000,6726.1836,6801.476699999999,6876.769799999999,0.7342465753424657
292,12000,6006.7162,6086.19225,6165.668299999999,0.7342465753424657
300,17000,3271.0669,3317.07935,3363.0918,0.7342465753424657
307,60000,150.5862,163.13505,175.6839,0.7342465753424657
357,21000,1949.2547,1986.90125,2024.5477999999998,0.7342465753424657
359,25000,1213.0555,1246.5191,1279.9827,0.7342465753424657
396,10000,7487.4805,7562.7735999999995,7638.0667,0.7342465753424657
416,5000,11829.382599999999,11896.309799999999,11963.237,0.7342465753424657
425,45000,267.7088,288.62355,309.5383,0.7342465753424657
437,19000,2518.1358999999998,2559.9654,2601.7949,0.7342465753424657
475,23000,1530.9596999999999,1564.4233,1597.8869,0.7342465753424657
500,30000,736.1991999999999,761.2968999999999,786.3946,0.7342465753424657
505,8000,9127.196899999999,9198.30705,9269.4172,0.7342465753424657
