,strike,dollar_bid,dollar_mid,dollar_ask,time
3,35000,8.3659,,,0.7342465753424657
49,5000,142.2203,163.13505,184.04979999999998,0.7342465753424657
50,13000,1664.8141,1702.4606499999998,1740.1072,0.7342465753424657
52,18000,2760.747,9746.2735,16731.8,0.7342465753424657
77,40000,16.7318,,,0.7342465753424657
107,60000,,,,0.7342465753424657
139,30000,13770.271399999998,14017.06545,14263.8595,0.7342465753424657
151,14000,2058.0114,2095.65795,2133.3044999999997,0.7342465753424657
165,80000,,,,0.7342465753424657
179,10000,803.1264,824.04115,844.9559,0.7342465753424657
200,17000,3513.6801,3626.6198175000004,3739.5595350000003,0.7342465753424657
245,16000,2986.6263,3032.6387499999996,3078.6512,0.7342465753424657
247,22000,6776.379,7023.17305,7269.9671,0.7342465753424657
280,15000,2493.0382,2539.0506499999997,2585.0631,0.7342465753424657
290,24000,8407.7295,8658.706499999998,8909.6835,0.7342465753424657
318,23000,7587.8713,7834.665349999999,8081.4594,0.7342465753424657
352,12000,1330.1780999999999,1355.2758,1380.3735,0.7342465753424657
360,21000,,,,0.7342465753424657
366,25000,9261.0513,9507.84535,9754.639399999998,0.7342465753424657
368,20000,3873.4117,,,0.7342465753424657
457,45000,,,,0.7342465753424657
479,8000,451.7586,468.49039999999997,485.2222,0.7342465753424657
493,11000,1037.3716,1062.4693,1087.567,0.7342465753424657
527,19000,4241.5113,5006.99115,5772.471,0.7342465753424657
